timestamp,backend,model,prompt_length_chars,input_tokens,output_tokens,total_tokens,cost_usd,latency_ms
2026-09-11T11:47:27,groq,openai/gpt-oss-20b,626,146,24,170,1.7e-05,4226.8
2026-09-11T11:47:33,groq,openai/gpt-oss-20b,198,32,583,615,6.2e-05,4056.0
2026-09-11T11:47:44,groq,openai/gpt-oss-20b,472,107,14,121,1.2e-05,9822.0
2026-09-11T11:47:45,groq,openai/gpt-oss-20b,762,221,21,242,2.4e-05,666.9
2026-09-11T11:47:51,groq,openai/gpt-oss-20b,699,145,57,202,2e-05,4830.7
2026-09-11T11:47:57,groq,openai/gpt-oss-20b,517,123,9,132,1.3e-05,5495.1
2026-09-11T11:48:00,groq,openai/gpt-oss-20b,514,91,31,122,1.2e-05,1757.1
2026-09-11T11:48:03,groq,openai/gpt-oss-20b,395,84,50,134,1.3e-05,2040.0
2026-09-11T11:48:14,groq,openai/gpt-oss-20b,653,150,92,242,2.4e-05,9286.2
2026-09-11T11:48:22,groq,openai/gpt-oss-20b,515,101,31,132,1.3e-05,6895.0
2026-09-11T11:48:24,groq,openai/gpt-oss-20b,598,116,53,169,1.7e-05,778.6
2026-09-11T11:48:28,groq,openai/gpt-oss-20b,400,77,121,198,2e-05,3912.8
2026-09-11T11:48:30,groq,openai/gpt-oss-20b,737,154,17,171,1.7e-05,543.2
2026-09-11T11:48:34,groq,openai/gpt-oss-20b,1115,202,111,313,3.1e-05,3100.3
2026-09-11T11:48:36,groq,openai/gpt-oss-20b,650,130,206,336,3.4e-05,1242.4
2026-09-11T11:48:41,groq,openai/gpt-oss-20b,565,103,28,131,1.3e-05,3833.3
2026-09-11T12:01:13,groq,openai/gpt-oss-20b,626,146,24,170,1.7e-05,472.2
2026-09-11T12:01:16,groq,openai/gpt-oss-20b,198,32,114,146,1.5e-05,1495.3
2026-09-11T12:01:20,groq,openai/gpt-oss-20b,472,107,14,121,1.2e-05,482.8
2026-09-11T12:01:23,groq,openai/gpt-oss-20b,762,221,24,245,2.5e-05,1065.6
2026-09-11T12:01:26,groq,openai/gpt-oss-20b,699,145,123,268,2.7e-05,1208.0
2026-09-11T12:01:30,groq,openai/gpt-oss-20b,517,123,10,133,1.3e-05,611.8
2026-09-11T12:01:34,groq,openai/gpt-oss-20b,514,91,25,116,1.2e-05,791.9
2026-09-11T12:01:38,groq,openai/gpt-oss-20b,395,84,79,163,1.6e-05,2012.9
2026-09-11T12:01:42,groq,openai/gpt-oss-20b,653,150,120,270,2.7e-05,1265.0
2026-09-11T12:01:45,groq,openai/gpt-oss-20b,515,101,25,126,1.3e-05,1211.7
2026-09-11T12:01:48,groq,openai/gpt-oss-20b,598,116,54,170,1.7e-05,959.8
2026-09-11T12:01:52,groq,openai/gpt-oss-20b,400,77,60,137,1.4e-05,1363.6
2026-09-11T12:01:55,groq,openai/gpt-oss-20b,737,154,13,167,1.7e-05,524.9
2026-09-11T12:01:58,groq,openai/gpt-oss-20b,1115,202,71,273,2.7e-05,806.6
2026-09-11T12:02:03,groq,openai/gpt-oss-20b,650,130,469,599,6e-05,1801.3
2026-09-11T12:02:06,groq,openai/gpt-oss-20b,565,103,29,132,1.3e-05,824.3
2026-09-11T12:02:10,groq,openai/gpt-oss-20b,593,122,14,136,1.4e-05,879.4
2026-09-11T12:02:13,groq,openai/gpt-oss-20b,445,83,10,93,9e-06,553.4
2026-09-11T12:02:15,groq,openai/gpt-oss-20b,652,124,12,136,1.4e-05,522.9
2026-09-11T12:02:19,groq,openai/gpt-oss-20b,373,93,216,309,3.1e-05,1250.5
